,country,article_name,revision_id,article_quality,Geography,Population mid-2018 (millions)
9917,Czech Republic,Bedřich Reicin,749945936,Stub,,
9933,South Ossetian,Yury Morozov,749962491,Stub,,
9950,Salvadoran,Antonio José Cañas,749973666,Stub,,
9952,Salvadoran,José Atilio Benítez Parada,749976455,Stub,,
9974,Faroese,"List of members of the Løgting, 1988–90",750074079,Stub,,
10031,Faroese,Brandur Sandoy,750167873,Stub,,
10049,Cape Colony,Jeremias Ziervogel,750299694,Stub,,
10121,"Congo, Dem. Rep. of",Jean-Marie Runiga Lugerero,750725157,Stub,,
10140,Ivorian,Queen Pokou,750972336,Stub,,
10163,"Congo, Dem. Rep. of",Christian Malanga,751152656,Stub,,
10203,"Congo, Dem. Rep. of",Faustin Birindwa,751361476,Stub,,
10215,Pitcairn Islands,Joshua Hill (Pitcairn Island leader),751464749,Stub,,
10249,Czech Republic,Bernd Richter,751718674,Stub,,
10319,Palestinian Territory,Arafat scarf,752269980,Stub,,
10417,Czech Republic,Kamil Kalina,753045804,Stub,,
10418,East Timorese,Manuel Carrascalão,753061850,Stub,,
10523,"Congo, Dem. Rep. of",Chikez Diemu,753704394,Stub,,
10589,Jersey,Guy de Faye,754330569,Stub,,
10591,"Congo, Dem. Rep. of",Minister of Foreign Affairs (Democratic Republic of the Congo),754344309,Stub,,
10641,Pitcairn Islands,George Fergusson (diplomat),754790610,Stub,,
10659,Pitcairn Islands,James Russell McCoy,754935959,Stub,,
10660,Pitcairn Islands,Matthew Edmond McCoy,754935982,Stub,,
10665,Palestinian Territory,Zuhir al-Qaisi,754951299,Stub,,
10669,Faroese,"List of members of the Løgting, 2015–19",754952121,Stub,,
10670,Faroese,"List of members of the Løgting, 2011–15",754952298,Stub,,
10671,Faroese,"List of members of the Løgting, 2008–11",754952557,Stub,,
10672,Faroese,"List of members of the Løgting, 2004–08",754952620,Stub,,
10673,Faroese,"List of members of the Løgting, 2002–04",754952690,Stub,,
10676,Palestinian Territory,Mohammed Shabir,754960024,Stub,,
10719,Abkhazia,Sumbat Saakian,755193428,Stub,,
10749,Guadeloupe,Jacques Bangou,755313899,Stub,,
10768,Palestinian Territory,Said Seyam,755358806,Stub,,
10778,Czech Republic,Richard Sacher,755428089,Stub,,
10780,Cook Island,Speaker of the Cook Islands Parliament,755442454,Stub,,
10784,Ivorian,Émile Boga Doudou,755479236,Stub,,
10811,Carniolan,Fran Levstik,755713654,Stub,,
10863,East Timorese,Adalgisa Magno Guterres,755908563,Stub,,
10864,East Timorese,María do Céu,755908564,Stub,,
10897,Ivorian,Adrien Jules Jean Bonhoure,756060260,Stub,,
10942,Czech Republic,Václav Fischer,756317863,Stub,,
10971,"Congo, Dem. Rep. of",Edouard Kiove Kola,756510063,Stub,,
11010,Faroese,Bárður á Steig Nielsen,756602743,Start,,
11064,Faroese,Edmund Joensen,756654638,Start,,
11067,Faroese,Jørgen Niclasen,756654880,Start,,
11234,Greenlandic,Sara Olsvig,756830216,Start,,
11245,Palestinian Territory,Atef Adwan,756834998,Start,,
11246,Palestinian Territory,Moussa Arafat,756836183,Start,,
11444,Saint Lucian,Ezechiel Joseph,757044849,Start,,
11446,Guadeloupe,Gaston Gerville-Réache,757050656,Start,,
11448,Cook Island,Maria Heather,757064438,Start,,
11449,Cook Island,Tetangi Matapo,757064793,Start,,
11450,Cook Island,Selina Napa,757064845,Start,,
11451,Cook Island,Dorice Reid,757065079,Start,,
11452,Cook Island,Ngai Tupa,757065152,Start,,
11481,Montserratian,Teresina Bodkin,757086597,Start,,
11482,Montserratian,Shirley Osborne,757086621,Start,,
11484,Hondura,Nora Gúnera de Melgar,757092750,Start,,
11486,Greenlandic,Kathrine Chemnitz,757102071,Start,,
11489,Greenlandic,Augusta Salling,757103267,Start,,
11498,Palauan,Leilani Reklai,757106724,Start,,
11499,Samoan,Matatumua Maimoana,757107378,Start,,
11500,Samoan,Laulu Fetauimalemau Mata'afa,757107952,Start,,
11556,Omani,Fahd bin Mahmoud al Said,757164616,Start,,
12153,Czech Republic,Božena Viková-Kunětická,757336278,Stub,,
12256,Ossetian,Taymuraz Mamsurov,757343822,Stub,,
12455,Greenlandic,Agathe Fontain,757539811,Stub,,
12457,East Timorese,Ana Pessoa Pinto,757539934,Stub,,
12459,Greenlandic,Ane Hansen (politician),757539958,Stub,,
12472,Cook Island,Cassey Eggelton,757540405,Stub,,
12475,Swaziland,Constance Simelane,757540600,Stub,,
12505,Hondura,Elizabeth Azcona Bocock,757561950,Stub,,
12514,Samoan,Fiame Naomi Mata'afa,757562316,Stub,,
12564,Palestinian Territory,Khouloud Daibes,757565638,Stub,,
12591,Saint Lucian,Menissa Rambally,757615710,Stub,,
12608,Samoan,Safuneitu'uga Pa'aga Neri,757616961,Stub,,
12610,Hondura,Sandra Midence,757617005,Stub,,
12624,Salvadoran,Violeta Menjívar,757618572,Stub,,
12862,"Congo, Dem. Rep. of",Daniel Mukoko Samba,757821887,Stub,,
12863,Cape Colony,Henry Latham Currey,757832561,Stub,,
12882,Saint Kitts and Nevis,Premier of Nevis,757950077,Stub,,
12894,Salvadoran,Santiago González (politician),757977772,Stub,,
12930,Salvadoran,Rosa Amelia Guzmán,758287489,Stub,,
12932,Salvadoran,Gloria Salguero Gross,758288293,Stub,,
13026,Czech Republic,Mikuláš of Hus,758942647,Stub,,
13028,Samoan,Gatoloaifaana Amataga Alesana-Gidlow,758953501,Stub,,
13103,Palestinian Territory,Nahid al-Rayyis,759387598,Stub,,
13117,Czech Republic,Gertruda Sekaninová-Čakrtová,759446334,Stub,,
13293,South Korean,Yu In-chon,760062536,Stub,,
13359,Ivorian,Seydou Diarra,760303900,Stub,,
13360,Ivorian,Gilbert Aké,760304267,Stub,,
13367,Palestinian Territory,Rawhi Fattouh,760357919,Stub,,
13368,Palestinian Territory,Wasfi Kabha,760375386,Stub,,
13369,Palestinian Territory,Omar Hammayil,760380012,Stub,,
13371,Palestinian Territory,Mohammed Milhim,760380700,Stub,,
13376,Ivorian,Jeannot Ahoussou-Kouadio,760393381,Stub,,
13382,Saint Lucian,Damian Greaves,760443772,Stub,,
13387,South Ossetian,Aleksandr Shavlokhov,760473086,Stub,,
13388,South Ossetian,Merab Chigoev,760473130,Stub,,
13389,South Ossetian,Gerasim Khugayev,760473192,Stub,,
13390,South Ossetian,Igor Sanakoyev,760473237,Stub,,
13391,South Ossetian,Zurab Kokoyev,760473273,Stub,,
13414,East Timorese,Rosa Bonaparte,760534473,Stub,,
13428,Omani,Rawya Saud Al Busaidi,760558966,Stub,,
13645,Montserratian,Adrian Davis (governor),762009545,Stub,,
13678,Guadeloupe,Sainte Suzanne Melvil-Bloncourt,762128875,Stub,,
13745,Samoan,Tuala Ainiu Iusitino,762572848,Stub,,
13754,Palauan,Antonio Bells,762610456,Stub,,
13793,Chechen,Alibek Delimkhanov,762868684,Stub,,
13798,Saint Vincent and the Grenadines,Sydney Gun-Munro,762906552,Stub,,
13799,Guernsey,Bailiff of Guernsey,762910285,Stub,,
13899,"Congo, Dem. Rep. of",Dolly Makambo Nawezi,763323939,Stub,,
13938,Rhodesian,Francis Chaplin,763530115,Stub,,
13942,Rhodesian,Roger Hawkins (politician),763533706,Stub,,
13946,Rhodesian,George Mitchell (Rhodesia),763540238,Stub,,
13996,Greenlandic,Asii Chemnitz Narup,763742018,Stub,,
14004,Niuean,Robert Rex,763768679,Stub,,
14005,Cook Island,Norman George,763769083,Stub,,
14006,Cook Island,John Tangi,763769086,Stub,,
14007,Cook Island,Vai Peua,763769088,Stub,,
14008,Cook Island,Teariki Heather,763769233,Stub,,
14010,Cook Island,George Angene,763769688,Stub,,
14011,Cook Island,Albert (Peto) Nicholas,763770488,Stub,,
14013,Cook Island,Tupou Faireka,763774025,Stub,,
14014,Cook Island,Mark Brown (Cook Islands),763774066,Stub,,
14015,Cook Island,Nandi Glassie,763774069,Stub,,
14016,Cook Island,Apii Piho,763775030,Stub,,
14017,Cook Island,Winton Pickering,763775034,Stub,,
14018,Cook Island,Albert Nicholas (Cook Islands),763775035,Stub,,
14019,Cook Island,Vincent Ingram,763775867,Stub,,
14020,Cook Island,Terepai Maoate Jnr,763775893,Stub,,
14021,Cook Island,Toanui Isamaela,763776103,Stub,,
14022,Cook Island,Tangata Vavia,763776191,Stub,,
14023,Cook Island,Taunga Toka,763776193,Stub,,
14024,Cook Island,Teremoana Tapi Taio,763776229,Stub,,
14025,Cook Island,Tepure Tapaitau,763776231,Stub,,
14026,Cook Island,Mapu Taia,763776235,Stub,,
14027,Cook Island,Pupuke Robati,763776270,Stub,,
14028,Cook Island,Wilkie Rasmussen,763776271,Stub,,
14030,Cook Island,Tai Tura,763776737,Stub,,
14031,Cook Island,Tekii Lazaro,763776768,Stub,,
14032,Cook Island,Kura Strickland,763776806,Stub,,
14033,Cook Island,Mii Parima,763776808,Stub,,
14034,Cook Island,Joe Williams (Cook Islands politician),763776856,Stub,,
14035,Cook Island,Kiriau Turepu,763776860,Stub,,
14052,Rhodesian,John Landau,763870152,Stub,,
14072,"Congo, Dem. Rep. of",Germain Kambinga,763943185,Stub,,
14073,Rhodesian,Byron Hove,763951988,Stub,,
14139,Palauan,Haruo Remeliik,764341685,Stub,,
14140,Ivorian,Henri Konan Bédié,764345360,Stub,,
14151,Guadeloupe,List of colonial and departmental heads of Guadeloupe,764397748,Stub,,
14176,Pitcairn Islands,Richard Fell,764601118,Stub,,
14184,Hondura,Juan Alberto Melgar Castro,764646645,Stub,,
14210,"Congo, Dem. Rep. of",Richard Ndambu Wolang,764771546,Stub,,
14211,"Congo, Dem. Rep. of",Simon Mbatshi Batshia,764771615,Stub,,
14212,"Congo, Dem. Rep. of",José Makila Sumanda,764771652,Stub,,
14213,"Congo, Dem. Rep. of",Trésor Kapuku Ngoy,764771697,Stub,,
14214,"Congo, Dem. Rep. of",Charles Mwando Simba,764791046,Stub,,
14291,Palauan,Roman Tmetuchl,765032190,Stub,,
14303,Palauan,Vice President of Palau,765102210,Stub,,
14373,Guadeloupe,Paul Niger,765272796,Stub,,
14384,Cape Colony,Henry Juta,765333482,Stub,,
14421,Salvadoran,David Joaquín Guzmán,765528693,Stub,,
14427,"Congo, Dem. Rep. of",Jules Fontaine Sambwa,765570258,Stub,,
14429,East Timorese,Fernanda Borges,765600414,Stub,,
14433,Chechen,Beibulat Taimiev,765616552,Stub,,
14445,Palestinian Territory,Faisal Husseini,765742925,Stub,,
14458,"Congo, Dem. Rep. of",Mabi Mulumba,765799138,Stub,,
14459,"Congo, Dem. Rep. of",N'Singa Udjuu,765799213,Stub,,
14466,"Congo, Dem. Rep. of",Sultani Makenga,765834828,Stub,,
14467,Czech Republic,Petr Mlsna,765838180,Stub,,
14474,"Congo, Dem. Rep. of",Josué Alex Mukendi,765871730,Stub,,
14488,"Congo, Dem. Rep. of",Raymond Tshibanda,765923988,Stub,,
14489,"Congo, Dem. Rep. of",Banza Mukalay,765924619,Stub,,
14492,"Congo, Dem. Rep. of",Évariste Boshab,765925554,Stub,,
14504,Faroese,Jóannes Eidesgaard,765947137,Stub,,
14505,Faroese,Jógvan á Lakjuni,765947416,Stub,,
14546,Niuean,Atapana Siakimotu,766068997,Stub,,
14547,Niuean,Ahohiva Levi,766068998,Stub,,
14548,Niuean,Bill Vakaafi Motufoou,766069253,Stub,,
14549,Niuean,Pokotoa Sipeli,766069256,Stub,,
14550,Niuean,Terry Coe,766069372,Stub,,
14551,Niuean,Togiavalu Pihigia,766069407,Stub,,
14552,Niuean,Hima Douglas,766069520,Stub,,
14553,Niuean,Dalton Tagelagi,766069576,Stub,,
14569,South Ossetian,Lyudvig Chibirov,766130279,Stub,,
14645,Jersey,Vernon Tomes,766480006,Stub,,
14662,Ivorian,Affoussiata Bamba-Lamine,766524815,Stub,,
14681,"Congo, Dem. Rep. of",Marie-Ange Mushobekwa,766647953,Stub,,
14698,Salvadoran,Francisco Gómez (El Salvador President),766757526,Stub,,
14706,Palestinian Territory,Haidar Abdel-Shafi,766784372,Stub,,
14712,Cook Island,Inatio Akaruru,766806728,Stub,,
14716,Palestinian Territory,Nasser al-Shaer,766840809,Stub,,
14719,Rhodesian,Hilary Squires,766847256,Stub,,
14720,Palestinian Territory,Omar Abd al-Razaq,766847361,Stub,,
14750,Cook Island,Terepai Maoate,767048874,Stub,,
14751,Cook Island,Deputy Prime Minister of the Cook Islands,767048881,Stub,,
14762,Guadeloupe,Achille René-Boisneuf,767102866,Stub,,
14779,Omani,"Azzan bin Qais, Sultan of Muscat and Oman",767183600,Stub,,
14783,Palauan,Surangel Whipps Jr.,767195006,Stub,,
14795,Martinique,Maurice Antiste,767223939,Stub,,
14813,Ivorian,Lambert Amon Tanoh,767265950,Stub,,
14820,Guadeloupe,Paul Adolphe Marie Prosper Granier de Cassagnac,767288808,Stub,,
14831,Samoan,Paul Alan Cox,767363297,Stub,,
14859,Palestinian Territory,Adnan al-Husayni,767482479,Stub,,
14954,Cape Colony,Simeon Jacobs,767856232,Stub,,
14963,Palestinian Territory,Ziad Abu Amr,767881055,Stub,,
14968,Omani,Taimur bin Feisal,767885927,Stub,,
14987,Cook Island,Atatoa Herman,767994335,Stub,,
15031,Czech Republic,Antonín Cyril Stojan,768047769,Stub,,
15077,"Congo, Dem. Rep. of",Jean Andeka,768228272,Stub,,
15095,Ivorian,Jean-Louis Billon,768302622,Stub,,
15108,Palestinian Territory,Ziad Abuzayyad,768374386,Stub,,
15170,Guernsey,Ambrose Sherwill,768625520,Stub,,
15179,"Congo, Dem. Rep. of",Aimé Ngoy Mukena,768670214,Stub,,
15180,Czech Republic,František Kubka,768676716,Stub,,
15181,Montserratian,David G. P. Taylor,768679602,Stub,,
15340,Palestinian Territory,Azzam al-Ahmad,769135700,Stub,,
15381,Palestinian Territory,Leila Shahid,769328020,Stub,,
15398,Carniolan,Ivan Tavčar,769425247,Stub,,
15447,Salvadoran,Francisco Dueñas,769575358,Stub,,
15450,Ivorian,Robert Beugré Mambé,769591168,Stub,,
15543,Niuean,Michael Jackson (journalist),770018880,Stub,,
15563,Montserratian,Sarita Francis,770131970,Stub,,
15668,South Korean,Kim Wan-ju,770622878,Stub,,
15669,South Korean,Park Yong-jin,770623036,Stub,,
15676,Salvadoran,Rafael Zaldívar,770682721,Stub,,
15687,Ivorian,Abdourahmane Cissé,770710515,Stub,,
15694,South Korean,Lee Jong-kul,770757174,Stub,,
15696,Greenlandic,Aleqa Hammond,770757601,Stub,,
15699,South Korean,Kim Hyun-jong,770760118,Stub,,
15708,Saint Lucian,Richard Frederick,770812205,Stub,,
15709,Saint Lucian,Oliver Plunkett (judge),770813700,Stub,,
15710,Saint Lucian,Gale Rigobert,770814043,Stub,,
15715,Saint Vincent and the Grenadines,Frederick Ballantyne,770827509,Stub,,
15716,Saint Vincent and the Grenadines,Terrance Ollivierre,770829069,Stub,,
15811,Tokelauan,Duncan MacIntyre (New Zealand politician),770994352,Stub,,
15830,Saint Vincent and the Grenadines,Milton Cato,771015590,Stub,,
15843,Cape Colony,William Schreiner,771024710,Stub,,
15896,Niuean,Enetama Lipitoa,771152922,Stub,,
15938,Palestinian Territory,Sharm El Sheikh Memorandum,771217707,Stub,,
15945,Samoan,Tuala Falenaoti Tiresa Malietoa,771267864,Stub,,
15956,Montserratian,David Brandt (politician),771351774,Stub,,
15957,Montserratian,Bertrand Osborne,771351955,Stub,,
15958,Montserratian,Percival Austin Bramble,771352057,Stub,,
16002,Tokelauan,Russell Marshall,771460602,Start,,
16035,Samoan,Toi Aukuso Cain,771651038,Start,,
16139,"Congo, Dem. Rep. of",Aimé Boji,772045942,Start,,
16179,Chechen,Isa Gendergenoevsky,772274868,Start,,
16185,"Congo, Dem. Rep. of",Léonard Mulamba,772317052,Start,,
16212,South African Republic,"Kruger House, Pretoria",772410051,Start,,
16299,"Congo, Dem. Rep. of",Noel K Tshiani Muadiamvita,772818039,Start,,
16310,East Timorese,Nicolau dos Reis Lobato,772890380,Start,,
16337,Palestinian Territory,Hussein al-Husayni,773002344,Start,,
16379,Martinique,Victor Sévère,773080765,Start,,
16433,Palestinian Territory,Riyad al-Maliki,773227993,Start,,
16435,Jersey,Philip Bailhache,773230341,Start,,
16447,Saint Lucian,Heraldine Rock,773251387,Start,,
16459,Jersey,Jean Poingdestre,773316732,Start,,
16486,Palauan,Alfonso Oiterong,773405868,Start,,
16508,Hondura,Vilma Cecilia Morales,773563309,Start,,
16574,Czech Republic,Josef Pfitzner,773853256,Start,,
16586,Faroese,Anfinn Kallsberg,773895078,Start,,
16699,"Congo, Dem. Rep. of",Kasongo Ilunga,774263410,Start,,
16741,South Korean,Shin Ki-ha,774367693,Start,,
16826,Ossetian,Head of the Republic of North Ossetia-Alania,774555176,Start,,
16829,Jersey,Peter Hanning,774568909,Start,,
16839,Czech Republic,Vladimír Franz,774595725,Start,,
16869,"Congo, Dem. Rep. of",Pierre Lumbi Okongo,774679596,Start,,
16889,Ivorian,Vice-President of Ivory Coast,774756970,Start,,
16897,Saint Kitts and Nevis,Vance Amory,774778329,Start,,
16903,Palestinian Territory,Yasser Abed Rabbo,774821388,Start,,
16908,Rhodesian,Cecil Dennistoun Burney,774837666,Start,,
16915,Salvadoran,Óscar Ortiz (El Salvador),774857245,Start,,
16922,Omani,"Turki bin Said, Sultan of Muscat and Oman",774877670,Start,,
16995,South Korean,Lee Chunhee,775234175,Start,,
16996,Saint Lucian,Peter Josie,775241473,Start,,
17035,South Korean,Ahn Dae-hee,775458263,Stub,,
17036,South Korean,Ahn Gyu-baek,775458608,Stub,,
17037,South Korean,Park Hong-keun,775458639,Stub,,
17043,Cape Colony,George Strahan,775481498,Stub,,
17064,Palestinian Territory,Isra al-Modallal,775535912,Stub,,
17145,Palestinian Territory,Jamal Abu Samhadana,775898615,Stub,,
17161,Niuean,Sani Lakatani,775947817,Stub,,
17226,Czech Republic,Jan Stocklassa,776095794,Stub,,
17252,Czech Republic,Jaroslav Krejčí,776197284,Stub,,
17276,Palestinian Territory,Sufian Abu Zaida,776289919,Stub,,
17278,South African Republic,Boekenhoutfontein,776299184,Stub,,
17292,Czech Republic,Libuše Benešová,776338134,Stub,,
17293,Czech Republic,Daniela Filipiová,776338195,Stub,,
17299,Ivorian,Jean Konan Banny,776348888,Stub,,
17309,"Congo, Dem. Rep. of",Jeannette Kavira Mapera,776372644,Stub,,
17310,Saint Lucian,Jeannine Compton-Antoine,776374386,Stub,,
17313,Palestinian Territory,Taysir Khalid,776386870,Stub,,
17336,Czech Republic,Moses Porges von Portheim,776487173,Stub,,
17344,Czech Republic,Jan Kasl,776508129,Stub,,
17345,Czech Republic,Jiří Kittner,776509425,Stub,,
17348,Czech Republic,Miloslav Vlček,776513404,Stub,,
17349,Czech Republic,Ivo Svoboda (politician),776513552,Stub,,
17350,Czech Republic,Hana Orgoníková,776513802,Stub,,
17351,Czech Republic,Pavel Dostál,776514175,Stub,,
17398,Cape Colony,John Bardwell Ebden,776725178,Stub,,
17406,Czech Republic,Jiří Lobkowicz,776751749,Stub,,
17429,Palestinian Territory,Ibrahim Nassar,776831011,Stub,,
17521,South Korean,Ahn Sang-yeong,777008205,Stub,,
17531,Palestinian Territory,Anwar Khatib,777026878,Stub,,
17544,South Korean,Jang Deok-jin,777070214,Stub,,
17597,Palauan,Johnson Toribiong,777304756,Stub,,
17603,Hondura,Carlos Zúñiga Figueroa,777334919,Stub,,
17705,Carniolan,Josip Jurčič,777587526,Stub,,
17707,Carniolan,Josip Vošnjak,777588436,Stub,,
17710,Hondura,José Adolfo Alvarado Lara,777592070,Stub,,
17718,Salvadoran,José Damián Villacorta,777601256,Stub,,
17720,Salvadoran,José Escolástico Marín,777602660,Stub,,
17734,Salvadoran,José María Cornejo,777612972,Stub,,
17735,Salvadoran,José María Peralta Lagos,777613551,Stub,,
17736,Salvadoran,José María San Martín,777613737,Stub,,
17737,Salvadoran,José María Silva,777613786,Stub,,
17777,Hondura,Juan Carlos Zuniga,777669643,Stub,,
17786,Salvadoran,Juan Manuel Rodríguez,777685186,Stub,,
17794,Salvadoran,Juan Vicente Villacorta Díaz,777698313,Stub,,
17835,Hondura,Julio Lozano Díaz,777796210,Stub,,
17860,Czech Republic,Bohuslav Kokotek,777876483,Stub,,
17906,Czech Republic,Alena Hanáková,778095433,Stub,,
18001,Greenlandic,Katrine Larsen Lenner,778461046,Start,,
18003,Saint Kitts and Nevis,Edmund Wickham Lawrence (Governor-General),778464259,Start,,
18048,Salvadoran,Juan José Daboub,778564487,Start,,
18083,Palauan,Kerai Mariur,778679721,Start,,
18093,Cook Island,Kete Ioane,778717694,Start,,
18099,Cook Island,Tom Davis (Cook Islands politician),778763952,Start,,
18118,Cook Island,Niki Rattle,778789714,Start,,
18164,South Korean,Kim Jae-soon,778915319,Start,,
18166,South Korean,Kim Jin-sun,778916810,Start,,
18214,Palestinian Territory,Jamil Majdalawi,779034357,Start,,
18219,Cape Colony,Jan Hendrik Hofmeyr (Onze Jan),779046359,Start,,
18224,Pitcairn Islands,William Alfred Young,779056744,Start,,
18262,Palestinian Territory,Foreign Affairs Minister of the Palestinian National Authority,779105366,Start,,
18335,Palestinian Territory,Rabiha Diab,779367907,Start,,
18340,Niuean,O'Love Jacobsen,779369629,Start,,
18341,Niuean,Sisilia Talagi,779369671,Start,,
18342,Niuean,Salilo Tongia,779369724,Start,,
18343,Niuean,Va'aiga Tukuitonga,779369750,Start,,
18366,Saint Kitts and Nevis,Ada Mae Edwards,779378782,Start,,
18367,Saint Kitts and Nevis,Constance V. Mitcham,779379168,Start,,
18404,Czech Republic,Irena Kočí,779417455,Start,,
18405,Czech Republic,Martin Netolický,779417738,Start,,
18406,Czech Republic,David Rath,779418369,Start,,
18542,Czech Republic,Eva Nováková,779498276,Start,,
18543,Czech Republic,Vojtěch Adam,779500408,Start,,
18544,Czech Republic,Vlastimil Balín,779500749,Start,,
18545,Czech Republic,Jiří Dolejš,779500957,Start,,
18546,Czech Republic,Zuzka Bebarová-Rujbrová,779501010,Start,,
18547,Czech Republic,Marie Stiborová,779501096,Start,,
18548,Czech Republic,Jiří Svoboda (politician),779501161,Start,,
18549,Czech Republic,Miloslava Vostrá,779501194,Start,,
18550,Czech Republic,Jiří Čeřovský,779501654,Start,,
18551,Czech Republic,Jan Korger,779501783,Start,,
18587,South Korean,Kim Il-ung,779544705,Start,,
18588,South Korean,Koo Kyo-hyun,779544873,Start,,
18592,Hondura,Juan Carlos Valenzuela (politician),779557210,Start,,
18611,East Timorese,Adalgisa Ximenes,779579546,Start,,
18618,Czech Republic,Kateřina Jacques,779581127,Start,,
18667,Ivorian,Jacqueline Oble,779741800,Start,,
18716,Czech Republic,Tomáš Chalupa,779839245,Start,,
18717,Czech Republic,Pavel Blažek,779839319,Start,,
18718,Czech Republic,Aleš Řebíček,779839400,Start,,
18719,Czech Republic,Ivan Langer,779839455,Start,,
18720,Czech Republic,Jan Stráský,779839492,Start,,
18725,Czech Republic,Jan Chvojka,779842639,Start,,
18729,Czech Republic,Marie Benešová,779847262,Start,,
18730,Czech Republic,Juraj Chmiel,779847492,Start,,
18731,Czech Republic,Daniela Kovářová,779847531,Start,,
18732,Czech Republic,Rostislav Vondruška,779847687,Start,,
18733,Czech Republic,Martin Štěpánek (actor),779847799,Start,,
18734,Czech Republic,Helena Třeštíková,779847837,Start,,
18735,Czech Republic,Milena Vicenová,779847883,Start,,
18736,Czech Republic,Jaroslav Bašta,779848743,Start,,
18737,Czech Republic,Josef Lux,779849059,Start,,
18738,Czech Republic,Miroslav Macek,779849258,Start,,
18739,Czech Republic,Ladislav Miko,779849694,Start,,
18740,Czech Republic,Džamila Stehlíková,779849767,Start,,
18751,Salvadoran,José Arturo Vásquez Machado,779894617,Start,,
18763,Salvadoran,Andrés del Valle,779931580,Start,,
18811,"Congo, Dem. Rep. of",Vice-Presidents of the Democratic Republic of the Congo,780035740,Start,,
18816,Czech Republic,Jozef Moravčík,780051829,Start,,
18850,South Korean,Ji Sang-wook,780227423,Start,,
18857,Saint Lucian,Lenard Montoute,780250934,Start,,
18860,Rhodesian,Mark Partridge,780260926,Start,,
18868,Carniolan,Janez Bleiweis,780281974,Start,,
18883,Czech Republic,Milan Uhde,780321961,Start,,
18894,Faroese,Kaj Leo Johannesen,780361487,Start,,
18936,Czech Republic,František Pitra,780534080,Start,,
18938,Czech Republic,Oldřich Černík,780534267,Start,,
18939,Greenlandic,Maliina Abelsen,780537008,Start,,
18940,Faroese,Rigmor Dam,780543271,Start,,
18941,Faroese,Hanna Jensen,780543417,Start,,
18942,Faroese,Sonja Jógvansdóttir,780543635,Start,,
18943,Faroese,Karin Kjølbro,780543692,Start,,
18954,Salvadoran,Lilian Mercedes Letona,780552804,Start,,
19000,Salvadoran,Carlos Quintanilla Schmidt,780701356,Stub,,
19015,"Congo, Dem. Rep. of",Odilon Kafitwe wa pa Bowa,780757242,Stub,,
19019,Samoan,Muagututagata Peter Ah Him,780759402,Stub,,
19037,Czech Republic,Otakar Motejl,780868492,Stub,,
19039,Czech Republic,Ludwig Czech,780887131,Stub,,
19047,Czech Republic,Rudolf Beran,780921783,Stub,,
19102,Salvadoran,Enrique Álvarez Córdova,781102914,Stub,,
19114,South Korean,Chung Hong-won,781133659,Stub,,
19115,South Korean,Kim Byong-joon,781134255,Stub,,
19218,Montserratian,Winston Pond,781452925,Stub,,
19338,Faroese,Jóannes Patursson,781915668,Stub,,
19386,Czech Republic,Victor Adler,782058966,Stub,,
19403,Palestinian Territory,Ahmed Hilmi Pasha,782105397,Stub,,
19415,Samoan,Sua Rimoni Ah Chong,782134923,Stub,,
19510,"Congo, Dem. Rep. of",Louis Alphonse Koyagialo,782350026,Stub,,
19512,Saint Lucian,Louis George (politician),782356881,Stub,,
19522,Czech Republic,Emil Beier,782384016,Stub,,
19545,Chechen,Ibragim Khultygov,782430810,Stub,,
19553,Samoan,Luamanuvao Winnie Laban,782465136,Stub,,
19565,South Korean,Hong Ihk-pyo,782498395,Stub,,
19577,Salvadoran,Arturo Araujo,782520448,Stub,,
19627,Rhodesian,Prime Minister of Rhodesia,782602484,Stub,,
19633,"Congo, Dem. Rep. of",Luzolo Bambi Lessa,782618365,Stub,,
19644,Ossetian,Akhsarbek Galazov,782634776,Stub,,
19651,South Korean,Jeon Soon-ok,782649404,Stub,,
19653,Salvadoran,Rubén Alonso Rosales,782652818,Stub,,
19681,Palauan,President of Palau,782714724,Stub,,
19695,Pitcairn Islands,Governor of Pitcairn,782764117,Stub,,
19699,Samoan,Order of Merit of Samoa,782768517,Stub,,
19721,"Congo, Dem. Rep. of",Jonas Mukamba Kadiata Nzemba,782825984,Stub,,
19794,Palestinian Territory,Majida Al-Masri,783041670,Stub,,
19810,Czech Republic,Bruno Kafka,783065752,Stub,,
19841,Omani,Badr bin Saud al Busaidi,783116680,Stub,,
19859,Rhodesian,Leo Cardwell Ross,783150296,Stub,,
19860,Rhodesian,Josiah Gondo,783150589,Stub,,
19899,Cape Colony,Charles Abercrombie Smith,783249147,Stub,,
19900,Cape Colony,Charles Brownlee,783250295,Stub,,
19935,Rhodesian,Dunduzu Chisiza,783301534,Stub,,
19968,Guadeloupe,Marcel Gargar,783350704,Stub,,
19973,"Congo, Dem. Rep. of",Arthur Z'ahidi Ngoma,783354232,Stub,,
19977,Saint Kitts and Nevis,Marcella Liburd,783358108,Stub,,
19983,South African Republic,State President of the South African Republic,783371989,Stub,,
20057,Salvadoran,Mariano Prado,783472679,Stub,,
20093,Hondura,Mario Alexander Barahona Martínez,783532382,Stub,,
20096,Hondura,Mario Canahuati,783534612,Stub,,
20100,Saint Lucian,Mario Michel,783539672,Stub,,
20178,Samoan,Sapa'u Ruperake Petaia,783679600,Stub,,
20199,Czech Republic,Lucie Talmanová,783711789,Stub,,
